iter     sigmaG  sigmaS  sigmaE  freq  a    d
906 0.342 0.0001 4.259 0.8109 2.108 2.725 
911 0.2142 0.0001 3.989 0.6655 2.736 2.717 
916 0.4041 0.0001 4.475 0.6618 2.544 2.962 
921 0.08939 0.0001 3.536 0.824 2.461 3.099 
926 0.2068 0.0001 3.852 0.8312 2.545 3.244 
931 0.1426 0.0001 4.115 0.7012 2.796 2.825 
936 0.5642 0.0001 3.875 0.8313 2.621 3.23 
941 0.1841 0.0001 4.175 0.799 2.217 3.537 
946 0.33 0.0001 3.968 0.7149 2.845 2.813 
951 0.2107 0.0001 3.828 0.6337 3.12 3.163 
956 0.2937 0.0001 3.758 0.8558 3.221 2.478 
961 0.1779 0.0001 4.241 0.7705 3.054 3.045 
966 0.3601 0.0001 3.81 0.6775 2.931 3.147 
971 0.1287 0.0001 4.197 0.6022 2.999 3.351 
976 0.1039 0.0001 4.055 0.8093 3.317 3.332 
981 0.3864 0.0001 4.531 0.7849 3.294 2.72 
986 0.5298 0.0001 3.688 0.7386 3.351 2.256 
991 0.4283 0.0001 4.08 0.7079 3.47 2.615 
996 0.1145 0.0001 4.138 0.8818 3.413 2.983 
